"Monthly_t0. 0 corr to 1st Oct" 5.17049180327869 4.74426229508197 4.44918032786885 3.03934426229508 2.87540983606557 2.77704918032787 2.62950819672131 2.54754098360656 2.28524590163934 3.4327868852459 3.76065573770492 2.39
"N" 20 45 55 400 550 675 850 1200 3000 203 119 2119
"peakRatio" 0.7 1.68 1.35 0.57 0.55 0.54 0.42 0.62 1.2 0.76 0.86 0.9866755
