"Season_1" "Season_2" "Season_3" "Season_4" "Season_5"
"MidsPopG_17.5" 6 6.5 5.95833333333333 6.48 5.54545454545455
"MidsPopG_37.5" 5.41666666666667 6.4203821656051 5.7292817679558 6.04477611940298 6.70833333333333
"MidsPopG_68" 4.8 6.45973154362416 5.63157894736842 5.96703296703297 6.25641025641026
"MidsPopG_120" 5.06060606060606 6.36057692307692 5.27209302325581 5.97297297297297 6.3859649122807
"MidsPopG_206" 6.12280701754386 6.06792452830189 5.28498293515358 5.73262032085561 6.14285714285714
"MidsPopG_325.5" 5.5 5.95287187039764 4.9650067294751 5.42166910688141 5.69784172661871
"MidsPopG_459.5" 5.50406504065041 5.92964824120603 4.59760479041916 5.18601747815231 5.54022988505747
"MidsPopG_595" 5.5 5.61704681872749 4.34389140271493 4.9424882629108 5.36936936936937
"MidsPopG_741" 5.89285714285714 5.45747126436782 4.01450892857143 4.68820861678005 5.16532258064516
"MidsPopG_908" 5.26704545454545 5.33676975945017 3.79441340782123 4.46308724832215 5.31864406779661
"MidsPopG_1179" 5.39908256880734 5.13318025258324 3.55947136563877 4.22002200220022 5.05013927576602
"MidsPopG_2180" 4.95640326975477 4.75589622641509 3.39756367663344 3.53275109170306 4.95343680709534
