"2011_10" "2011_11" "2011_12" "2012_1" "2012_2" "2012_3" "2012_4" "2012_5" "2012_6" "2012_7" "2012_08" "2012_09" "2012_10" "2012_11" "2012_12" "2013_01" "2013_02" "2013_03" "2013_04" "2013_05" "2013_06" "2013_07" "2013_08" "2013_09"
"ARname_XIX" 46 72 92 121 166 442 972 975 313 22 51 24 6 4 29 104 215 710 696 323 92 32 13 24
"ARname_XXVI" 101 131 137 175 293 615 521 408 181 9 18 6 3 13 32 139 201 581 627 311 55 21 10 6
"ARname_XVIII" 48 68 206 281 831 2448 3116 2474 803 46 59 25 20 22 25 163 301 765 1207 379 87 22 27 14
"ARname_XXIV" 37 49 109 88 157 263 270 232 111 9 28 3 20 13 18 57 136 536 664 366 45 10 57 101
"ARname_XVII" 130 84 296 471 1354 3689 4982 3097 881 124 135 71 76 98 93 212 541 1193 1216 479 152 63 25 28
"ARname_XXXIII" 43 42 257 430 783 2183 3351 2157 647 108 93 35 31 40 40 118 306 684 815 345 77 26 12 9
"ARname_XVI" 76 138 179 279 360 1509 1573 1487 532 53 59 46 31 29 74 302 502 1359 1431 500 124 65 54 57
"ARname_XXII" 3 30 84 166 229 470 1059 891 257 37 51 25 20 15 19 38 85 181 218 105 36 13 1 3
"ARname_XXV" 17 38 53 117 283 501 751 832 363 20 55 16 18 19 12 43 120 298 307 165 54 27 9 11
"ARname_XV" 41 66 136 670 1521 2753 2383 1686 521 68 98 55 50 22 45 114 272 558 715 335 106 35 21 13
"ARname_XXXIV" 1 5 4 14 8 46 55 70 28 0 0 0 1 1 0 6 10 27 37 13 1 2 1 2
"ARname_VII" 12 17 40 44 90 153 245 268 104 28 18 6 10 8 6 11 61 120 228 134 18 3 9 1
"ARname_XIV" 28 60 136 249 663 1150 1219 1414 537 56 108 33 32 25 25 53 184 539 691 306 67 22 3 2
"ARname_XXXI" 13 31 50 76 106 143 203 302 115 30 35 15 19 26 28 63 315 783 663 168 31 12 4 0
"ARname_XIII" 52 55 110 154 569 1223 1856 2105 894 148 88 88 42 37 43 102 263 583 813 525 137 30 26 22
"ARname_XI" 7 52 110 100 194 455 435 461 164 23 31 21 17 16 18 26 76 349 336 117 42 10 6 1
"ARname_XII" 10 45 64 101 251 558 809 1002 385 38 47 22 18 9 25 52 136 262 342 191 68 11 5 4
"ARname_VIII" 21 22 65 56 123 253 403 375 324 114 55 29 20 15 23 48 181 573 704 552 104 7 17 4
"ARname_X" 8 39 92 81 180 280 265 420 148 39 57 42 12 15 23 57 102 251 341 145 47 14 9 2
"ARname_XXIX" 4 6 12 31 53 105 119 201 87 7 22 12 10 1 7 14 22 83 93 52 17 3 4 1
"ARname_VI" 25 31 79 61 80 119 217 212 75 13 32 25 23 22 25 102 182 320 410 320 55 24 6 3
"ARname_IX" 30 18 77 63 140 260 429 477 465 177 53 33 23 21 22 61 236 608 815 456 92 9 13 4
"ARname_XXVIII" 2 6 5 5 23 28 47 98 48 8 15 5 3 3 4 13 23 44 65 28 6 3 1 0
"ARname_XX" 47 79 210 229 230 440 223 966 77 29 180 85 82 86 93 266 317 592 912 357 106 45 26 22
"ARname_XXX" 5 3 23 28 56 106 93 259 85 27 118 24 18 20 28 48 43 258 265 79 19 7 1 2
"ARname_XXVII" 11 15 20 29 28 37 75 70 24 8 13 7 6 5 3 82 117 110 99 76 28 17 2 3
"ARname_I" 1 5 11 18 34 105 158 186 31 13 20 10 7 2 7 21 79 169 174 98 21 2 2 2
"ARname_III" 18 11 29 42 84 132 243 283 115 40 32 21 12 14 10 23 109 320 402 233 37 8 3 2
"ARname_XXIII" 4 8 22 28 40 68 94 128 29 11 11 5 5 5 6 28 84 227 314 136 26 0 2 4
"ARname_IV" 31 10 74 73 107 195 342 408 157 30 61 33 40 30 46 109 276 598 849 650 74 22 12 5
"ARname_II" 3 9 26 27 61 89 118 169 25 3 12 6 5 5 9 17 56 121 182 82 19 3 1 3
"ARname_V" 10 17 60 75 122 198 272 329 158 55 46 21 22 21 29 92 257 560 798 415 62 12 8 2
"ARname_XXI" 1 3 4 8 1 3 5 17 4 8 3 0 1 0 4 10 45 36 47 9 1 0 0 0
