"Pop_11" "Pop_12" "Pop_14" "Pop_16" "Pop_17" "Pop_19" "Pop_21" "Pop_23" "Pop_25" "Pop_28" "Pop_30" "Pop_33" "Pop_36" "Pop_39" "Pop_42" "Pop_46" "Pop_49" "Pop_53" "Pop_57" "Pop_61" "Pop_65" "Pop_69" "Pop_74" "Pop_78" "Pop_84" "Pop_90" "Pop_96" "Pop_104" "Pop_112" "Pop_120" "Pop_128" "Pop_137" "Pop_146" "Pop_156" "Pop_165" "Pop_176" "Pop_187" "Pop_200" "Pop_214" "Pop_228" "Pop_242" "Pop_255" "Pop_270" "Pop_286" "Pop_302" "Pop_320" "Pop_336" "Pop_354" "Pop_371" "Pop_386" "Pop_400" "Pop_414" "Pop_431" "Pop_448" "Pop_464" "Pop_480" "Pop_496" "Pop_513" "Pop_529" "Pop_546" "Pop_563" "Pop_580" "Pop_597" "Pop_613" "Pop_629" "Pop_645" "Pop_662" "Pop_679" "Pop_696" "Pop_716" "Pop_734" "Pop_751" "Pop_769" "Pop_788" "Pop_808" "Pop_828" "Pop_846" "Pop_865" "Pop_884" "Pop_906" "Pop_930" "Pop_953" "Pop_976" "Pop_1004" "Pop_1034" "Pop_1064" "Pop_1097" "Pop_1137" "Pop_1180" "Pop_1227" "Pop_1285" "Pop_1348" "Pop_1422" "Pop_1512" "Pop_1622" "Pop_1771" "Pop_1957" "Pop_2227" "Pop_2696" "Pop_5787"
"2012_09" 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 3 2 4 3 4 0 2 2 5 2 2 1 5 4 5 4 4 6 3 7 5 4 5 5 5 6 6 6 12 6 8 15 14 12 7 8 8 16 13 11 16 9 25 17 6 17 20 18 15 14 20 22 20 20 21 34 21 26 21 28 28 33 46 38 63
"2012_10" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 2 2 0 1 0 0 1 0 1 0 0 2 0 1 1 3 1 1 1 3 0 1 1 1 2 2 1 6 3 1 9 3 2 6 3 4 1 5 7 3 5 4 8 5 3 8 6 9 6 9 7 5 9 10 7 8 16 10 12 7 14 13 11 12 8 11 14 7 14 19 13 6 18 20 23 34 22 21 22 28 36 43 55
"2012_11" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 0 3 1 2 0 0 2 0 0 2 0 1 0 4 1 0 4 0 3 0 2 3 0 5 1 1 3 4 2 7 5 3 10 7 4 6 5 3 6 5 5 7 3 4 10 4 9 3 13 9 9 6 7 3 7 14 5 8 15 9 13 11 11 5 11 11 13 13 13 8 18 16 21 22 23 12 20 14 22 31 38 56
"2012_12" 0 0 1 0 1 0 0 0 2 0 0 2 0 0 0 1 0 0 1 1 1 0 2 0 1 0 1 1 2 1 1 4 6 3 2 2 10 3 2 8 1 4 5 3 6 5 3 4 1 7 9 7 5 5 5 6 5 4 9 6 7 9 5 10 24 9 14 13 11 13 19 11 6 14 13 21 21 21 19 12 18 8 11 15 14 17 16 17 6 26 20 17 18 28 25 21 37 35 37 54
"2013_01" 0 0 2 1 3 7 0 0 5 3 1 1 6 1 5 2 7 5 2 1 3 3 3 5 7 3 6 5 6 7 10 20 9 5 13 5 14 9 10 25 17 14 14 13 31 22 12 10 13 21 21 15 25 28 20 31 34 33 31 18 22 28 46 27 32 26 30 25 41 46 24 29 39 43 47 30 36 46 39 41 36 43 32 35 42 52 39 46 43 56 51 52 52 58 74 63 63 86 107 224
"2013_02" 0 1 3 1 4 0 1 1 6 4 3 6 10 4 3 5 21 3 5 7 6 7 17 14 11 10 12 7 8 10 15 17 19 15 22 16 36 20 25 35 43 14 26 26 43 41 29 35 29 46 38 41 38 45 37 58 59 54 54 57 56 81 75 54 85 74 91 82 105 90 70 62 90 77 81 76 88 114 97 97 99 98 115 113 96 94 121 103 94 119 122 139 138 162 165 164 189 184 287 383
"2013_03" 5 1 20 1 10 7 10 6 7 20 17 13 18 6 18 10 26 24 21 16 16 11 51 33 23 31 28 45 33 24 49 40 60 47 63 42 71 40 60 68 66 65 100 86 95 108 82 100 94 86 117 99 98 103 115 160 135 120 159 130 134 151 130 150 199 155 228 152 209 230 147 163 246 224 220 187 189 244 263 253 272 215 252 255 298 257 313 257 248 323 343 324 320 331 444 405 503 484 629 842
"2013_04" 4 3 18 1 9 13 9 4 17 29 17 9 24 14 23 16 28 25 14 20 33 19 33 24 19 31 24 34 37 34 53 55 59 47 46 48 98 65 80 91 84 70 111 67 81 162 87 105 94 100 178 108 163 131 156 168 168 134 189 131 156 201 210 181 203 210 255 207 231 279 200 246 247 222 260 228 244 276 281 241 296 239 300 291 361 317 381 370 334 375 413 394 390 457 565 538 620 670 770 1103
"2013_05" 5 2 11 0 6 3 3 1 1 7 6 7 12 9 13 9 8 8 7 9 17 7 17 19 14 13 16 22 26 21 34 22 27 34 24 20 33 28 39 37 43 30 56 50 41 55 49 52 52 51 55 49 57 53 74 82 83 52 85 76 71 72 74 84 88 79 121 91 109 104 89 97 152 90 126 94 121 134 105 140 115 122 117 149 136 124 167 167 169 176 184 197 244 201 321 283 377 355 462 601
"2013_06" 5 0 0 0 1 0 0 0 2 3 1 0 1 1 1 2 4 2 0 2 3 2 2 2 4 2 8 4 6 0 6 3 2 7 6 2 2 10 4 4 5 16 18 10 8 14 8 17 6 14 18 20 5 13 18 24 12 15 17 13 9 23 18 19 22 19 29 16 14 24 25 27 40 23 30 29 26 33 21 24 26 26 38 30 41 46 44 32 44 38 54 48 48 51 69 52 63 89 104 117
"2013_07" 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 4 3 0 0 2 2 1 1 1 0 1 3 7 2 2 4 2 6 4 6 7 5 3 1 3 7 4 4 8 4 7 9 5 2 3 5 1 12 10 12 5 10 7 7 5 4 7 8 9 12 10 10 14 10 7 10 18 12 17 10 13 6 15 14 10 11 13 19 18 10 20 22 47
"2013_08" 0 0 0 0 1 0 0 0 2 0 0 2 0 0 2 1 2 3 0 2 2 2 4 0 1 1 0 3 2 1 1 3 1 0 0 0 1 0 4 4 4 1 4 0 3 1 1 0 4 4 2 1 1 2 5 13 3 4 1 9 4 5 6 4 2 6 6 9 6 11 5 5 5 4 4 7 1 10 10 2 6 8 3 4 9 6 4 6 5 8 7 2 8 12 14 9 18 8 15 18
"2013_09" 0 0 2 0 0 1 1 2 1 2 2 0 0 0 2 0 1 0 0 0 1 0 1 0 2 3 1 4 2 4 5 2 0 1 3 2 2 2 1 1 1 3 1 4 2 1 3 2 2 5 5 6 9 1 4 2 4 1 7 8 3 3 7 8 3 5 5 3 8 7 3 1 6 4 7 3 6 12 1 1 6 6 5 8 6 6 9 4 6 10 6 6 4 6 3 10 5 9 11 13
