"2011_10" "2011_11" "2011_12" "2012_1" "2012_2" "2012_3" "2012_4" "2012_5" "2012_6" "2012_7" "2012_08" "2012_09" "2012_10" "2012_11" "2012_12" "2013_01" "2013_02" "2013_03" "2013_04" "2013_05" "2013_06" "2013_07" "2013_08" "2013_09"
"ARname_SANTA CRUZ" 25 54 70 85 90 278 483 419 175 6 29 15 3 2 20 55 95 428 410 221 59 18 7 17
"ARname_SEPETIBA" 6 3 10 10 30 63 209 276 48 2 3 1 1 0 2 9 12 96 138 48 14 4 2 1
"ARname_GUARATIBA" 90 111 118 147 254 549 475 389 165 7 14 4 1 10 22 107 170 460 496 267 48 14 9 4
"ARname_PACIENCIA" 15 15 12 26 46 101 280 280 90 14 19 8 2 2 7 40 108 186 148 54 19 10 4 6
"ARname_PEDRA DE GUARATIBA" 11 20 15 25 35 59 41 17 15 2 3 2 2 2 9 27 25 106 106 36 3 2 1 1
"ARname_CAMPO GRANDE" 33 43 112 160 530 1625 2036 1734 599 29 34 11 12 15 13 82 173 454 741 272 52 15 17 10
"ARname_COSMOS" 5 6 29 29 59 250 361 243 63 2 8 4 0 0 3 27 44 127 207 37 13 2 2 2
"ARname_INHOAIBA" 1 6 27 20 50 154 257 196 48 2 6 4 1 2 5 33 38 72 106 17 10 0 1 0
"ARname_BARRA DE GUARATIBA" 0 0 4 3 4 7 5 2 1 0 1 0 0 1 1 5 6 15 25 8 4 5 0 1
"ARname_SENADOR VASCONCELOS" 4 5 11 28 88 152 111 71 19 3 4 0 2 2 1 6 12 33 50 22 7 1 2 0
"ARname_SANTISSIMO" 5 8 27 44 104 267 351 230 74 10 7 6 5 3 3 15 34 79 103 31 5 4 5 2
"ARname_GRUMARI" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ARname_RECREIO DOS BANDEIRANTES" 11 17 48 29 47 71 88 68 36 1 8 0 2 1 3 14 55 208 314 142 18 6 15 28
"ARname_BANGU" 82 47 198 316 935 2559 3357 2116 640 96 87 49 52 68 63 153 408 906 884 341 102 44 19 19
"ARname_VARGEM GRANDE" 4 2 4 11 12 20 13 14 6 0 0 0 1 1 0 6 2 37 49 24 0 0 3 2
"ARname_SENADOR CAMARA" 37 28 73 102 253 688 1121 722 170 17 34 14 16 27 16 29 77 156 179 79 41 12 4 6
"ARname_VARGEM PEQUENA" 4 5 3 13 13 36 18 20 8 0 0 0 2 2 1 1 6 23 56 19 2 1 0 1
"ARname_GERICINO" 0 0 0 0 0 1 1 0 3 0 0 1 0 0 0 0 0 4 3 1 0 0 0 0
"ARname_PADRE MIGUEL" 11 9 25 53 166 441 503 259 68 11 14 7 8 3 14 30 56 127 150 58 9 7 2 3
"ARname_REALENGO" 38 30 207 355 662 1800 2521 1593 523 100 73 27 27 32 39 96 241 555 642 241 59 22 10 7
"ARname_BARRA DA TIJUCA" 13 14 40 23 68 111 116 92 39 4 16 3 14 9 10 27 59 201 182 141 19 3 32 64
"ARname_JACAREPAGUA" 15 17 29 39 38 127 177 156 54 2 2 3 5 6 7 31 34 154 204 67 24 7 14 11
"ARname_CAMORIM" 0 1 4 3 4 9 5 6 4 1 0 0 0 0 0 1 2 1 3 2 0 0 2 0
"ARname_PARQUE ANCHIETA" 1 2 7 14 20 58 222 186 36 2 7 3 7 2 4 7 18 37 26 12 4 1 0 0
"ARname_ANCHIETA" 2 5 30 54 56 159 427 373 82 12 20 11 8 5 6 18 29 72 63 23 8 6 0 1
"ARname_MAGALHAES BASTOS" 0 3 17 24 40 156 359 281 37 1 4 4 0 3 0 5 14 40 33 30 3 1 2 0
"ARname_VILA MILITAR" 1 2 19 20 34 102 279 187 51 7 7 3 3 2 0 8 22 44 53 27 6 0 0 2
"ARname_TAQUARA" 10 41 39 55 75 346 372 397 133 12 15 16 7 4 24 76 136 325 347 123 32 18 15 14
"ARname_RICARDO DE ALBUQUERQUE" 0 0 8 11 10 22 114 98 29 2 8 1 1 1 4 3 5 16 17 15 1 0 1 0
"ARname_JARDIM SULACAP" 2 3 8 8 20 78 124 55 19 0 2 0 1 2 1 5 19 24 61 28 7 2 0 0
"ARname_CURICICA" 3 10 8 15 14 55 61 82 38 0 2 1 1 0 4 8 17 46 60 24 8 0 5 11
"ARname_CAMPO DOS AFONSOS" 1 0 0 5 9 19 31 18 8 0 3 1 0 1 0 3 7 11 18 6 0 0 0 0
"ARname_PAVUNA" 4 13 28 40 82 159 299 397 183 10 28 7 9 8 5 22 58 137 162 76 30 13 6 8
"ARname_DEODORO" 1 4 6 18 18 28 37 23 9 0 4 0 0 0 0 1 3 10 8 13 2 1 0 0
"ARname_GUADALUPE" 0 23 39 87 143 231 296 234 110 21 16 10 4 7 5 10 33 56 112 55 23 6 0 2
"ARname_MARECHAL HERMES" 1 3 17 169 317 474 432 207 63 9 9 10 9 2 4 12 44 65 111 75 19 6 1 4
"ARname_COSTA BARROS" 1 5 4 15 27 45 63 63 29 0 4 1 2 1 1 3 4 18 16 7 1 3 0 0
"ARname_TANQUE" 9 11 21 38 34 158 193 176 48 3 6 4 1 3 7 38 79 123 111 29 6 4 4 0
"ARname_VILA VALQUEIRE" 11 10 23 28 60 259 253 141 62 16 8 8 1 7 4 19 39 109 136 34 10 11 1 3
"ARname_BARROS FILHO" 2 2 0 6 16 36 41 53 21 3 4 2 0 2 0 4 11 17 24 17 3 1 0 1
"ARname_CIDADE DE DEUS" 1 5 4 14 8 46 55 70 28 0 0 0 1 1 0 6 10 27 37 13 1 2 1 2
"ARname_BENTO RIBEIRO" 10 9 23 164 285 419 235 110 43 4 9 3 2 1 2 5 26 53 97 39 10 6 2 2
"ARname_PRACA SECA" 6 22 29 36 52 252 249 240 103 13 13 3 7 7 7 60 86 291 238 74 17 5 4 3
"ARname_HONORIO GURGEL" 2 4 6 60 134 160 164 121 36 2 5 4 4 1 0 2 20 27 48 30 8 7 0 1
"ARname_PECHINCHA" 3 1 4 8 9 40 33 35 20 1 2 3 1 0 3 15 17 34 37 14 3 1 3 4
"ARname_COELHO NETO" 9 12 14 34 121 196 219 182 63 5 14 4 3 5 4 8 22 56 45 46 7 5 1 1
"ARname_FREGUESIA (JACAREPAGUA)" 13 17 20 43 59 183 142 180 51 5 10 8 7 2 10 40 67 174 196 94 14 16 7 8
"ARname_ROCHA MIRANDA" 4 6 16 68 227 357 281 245 61 4 10 3 3 1 8 11 27 68 72 27 7 3 1 0
"ARname_OSVALDO CRUZ" 1 6 8 53 86 216 183 109 26 4 7 8 1 0 3 8 15 31 43 20 4 0 2 0
"ARname_CAMPINHO" 0 2 4 8 17 84 102 66 22 1 2 4 2 1 0 8 5 28 26 14 9 1 4 0
"ARname_GARDENIA AZUL" 2 3 1 4 5 19 27 22 7 0 0 0 0 0 3 4 16 44 54 17 2 0 1 1
"ARname_VASCO DA GAMA" 4 1 7 12 11 18 42 31 18 0 3 1 0 0 0 0 5 17 15 5 0 0 0 0
"ARname_ACARI" 1 6 4 17 33 52 116 129 62 1 3 1 2 3 0 3 21 58 38 12 8 3 1 1
"ARname_TURIACU" 3 4 6 32 86 184 145 115 30 4 6 1 2 2 3 3 12 32 47 10 3 2 1 1
"ARname_MADUREIRA" 6 13 16 52 161 354 370 293 86 11 16 9 9 4 12 28 56 119 131 46 16 5 5 4
"ARname_ANIL" 4 6 5 13 14 70 66 58 16 1 1 0 1 0 5 11 11 59 48 24 8 3 0 2
"ARname_COLEGIO" 1 8 24 39 144 195 110 130 39 2 16 5 5 8 5 8 15 46 51 24 7 3 0 0
"ARname_IRAJA" 16 38 78 161 424 715 754 935 362 43 64 23 19 13 15 34 130 355 455 210 45 17 1 1
"ARname_CASCADURA" 5 4 11 29 55 126 147 152 58 14 16 7 6 3 5 19 30 58 60 41 8 1 2 0
