"2011_10" "2011_11" "2011_12" "2012_1" "2012_2" "2012_3" "2012_4" "2012_5" "2012_6" "2012_7" "2012_08" "2012_09" "2012_10" "2012_11" "2012_12" "2013_01" "2013_02" "2013_03" "2013_04" "2013_05" "2013_06" "2013_07" "2013_08" "2013_09"
"ARname_QUINTINO BOCAIUVA" 3 5 10 12 24 72 81 102 39 4 6 3 3 3 1 10 16 20 24 15 7 0 3 1
"ARname_VAZ LOBO" 4 5 8 7 53 120 71 68 28 2 7 2 3 1 1 0 7 30 20 5 7 1 0 0
"ARname_ITANHANGA" 5 10 8 9 12 16 30 32 18 3 4 0 1 0 4 8 12 66 57 38 6 0 5 5
"ARname_JARDIM AMERICA" 3 3 9 10 14 23 26 23 14 3 6 1 1 1 5 4 62 171 186 46 7 1 0 0
"ARname_ENGENHEIRO LEAL" 0 0 1 1 10 34 39 19 7 3 2 0 2 0 1 3 1 7 9 2 3 0 0 0
"ARname_VICENTE DE CARVALHO" 4 6 16 21 50 101 147 108 46 5 11 1 1 1 2 2 11 38 51 20 3 0 0 0
"ARname_CAVALCANTI" 2 5 10 15 66 153 133 79 22 6 3 1 4 3 5 5 13 20 27 11 5 3 0 0
"ARname_VIGARIO GERAL" 6 12 23 25 36 51 40 56 15 6 9 3 5 9 14 42 217 397 265 51 10 3 0 0
"ARname_PIEDADE" 6 7 18 32 135 298 375 283 82 15 13 8 6 6 5 8 32 48 70 38 11 2 3 5
"ARname_AGUA SANTA" 0 0 0 3 2 3 4 2 0 0 0 1 0 0 0 0 1 2 0 1 1 0 0 0
"ARname_PARADA DE LUCAS" 0 1 2 1 8 10 9 26 14 2 2 4 5 6 1 6 5 33 30 10 2 4 0 0
"ARname_VISTA ALEGRE" 1 0 0 1 0 5 3 7 3 1 0 0 0 0 0 0 0 7 7 7 0 0 0 0
"ARname_BRAS DE PINA" 4 7 17 25 30 63 84 134 60 10 7 6 3 5 4 5 19 76 73 29 11 1 1 1
"ARname_VILA DA PENHA" 2 4 9 16 16 66 116 135 54 3 10 3 6 2 1 5 20 46 49 27 7 0 0 1
"ARname_CORDOVIL" 4 15 16 40 48 59 128 197 72 19 18 7 8 10 8 11 31 182 182 61 12 4 4 0
"ARname_TOMAS COELHO" 1 3 7 17 66 112 93 63 17 7 5 3 4 0 2 12 19 25 33 22 6 2 0 0
"ARname_VILA KOSMOS" 4 4 9 11 29 68 89 99 33 2 7 1 1 1 2 4 8 47 78 18 5 2 2 0
"ARname_PENHA CIRCULAR" 1 18 33 32 56 119 192 224 72 9 12 10 6 5 8 13 34 131 140 45 13 5 2 0
"ARname_ENGENHO DA RAINHA" 3 14 24 33 80 221 233 276 109 8 12 3 4 1 7 10 29 69 113 60 21 1 2 2
"ARname_ENCANTADO" 2 1 4 5 10 48 82 29 10 1 0 0 0 0 1 1 1 7 11 4 1 0 0 3
"ARname_PILARES" 4 7 10 20 72 137 194 205 60 7 6 10 2 2 4 10 27 49 50 27 9 3 3 1
"ARname_ENGENHO DE DENTRO" 7 7 14 31 78 176 225 266 135 18 6 17 3 3 8 13 39 52 96 61 16 9 2 3
"ARname_ABOLICAO" 1 1 2 4 4 15 39 29 9 0 1 1 0 1 2 6 11 13 14 6 0 2 0 0
"ARname_ALTO DA BOA VISTA" 2 2 11 2 11 12 17 12 8 4 5 3 1 4 1 2 15 82 82 40 10 0 2 0
"ARname_PENHA" 2 27 60 43 108 273 159 103 32 4 12 5 8 6 6 8 23 142 123 43 18 4 3 0
"ARname_LINS DE VASCONCELOS" 2 2 3 5 12 28 63 86 42 4 7 1 3 1 1 4 12 37 52 28 0 0 1 0
"ARname_JOA" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1
"ARname_INHAUMA" 3 15 22 32 61 156 325 407 148 6 10 5 5 5 9 15 34 81 92 39 18 4 0 0
"ARname_MEIER" 7 7 19 10 37 91 180 217 115 17 8 13 10 8 5 15 35 88 79 61 12 4 6 1
"ARname_TODOS OS SANTOS" 1 2 5 2 25 51 77 135 53 7 1 4 2 2 1 6 11 26 45 31 10 4 2 2
"ARname_CACHAMBI" 7 6 15 8 56 83 191 248 126 16 10 12 6 5 3 14 21 57 75 59 22 1 5 1
"ARname_OLARIA" 3 16 40 31 87 108 78 137 51 10 23 10 5 3 4 18 25 66 96 36 13 7 4 1
"ARname_COMPLEXO DO ALEMAO" 4 6 12 31 53 105 119 201 87 7 22 12 10 1 7 14 22 83 93 52 17 3 4 1
"ARname_DEL CASTILHO" 1 7 5 15 22 31 83 126 53 8 9 6 2 1 2 6 26 44 58 31 13 3 0 1
"ARname_ENGENHO NOVO" 8 5 13 18 66 137 195 267 119 26 8 9 6 5 4 10 31 98 151 64 21 2 1 4
"ARname_SAO CONRADO" 6 11 8 10 13 18 25 26 10 3 8 6 3 5 1 39 51 40 30 30 5 9 1 2
"ARname_MARIA DA GRACA" 0 3 2 0 10 15 25 57 21 7 5 4 2 1 1 4 9 14 13 9 5 1 1 1
"ARname_GRAJAU" 8 2 17 12 31 65 98 106 112 51 12 9 4 4 4 14 51 147 208 105 21 3 6 3
"ARname_RAMOS" 1 12 18 22 36 65 68 168 46 11 13 15 3 5 6 10 29 66 95 29 8 2 2 0
"ARname_HIGIENOPOLIS" 2 3 4 4 12 23 50 73 37 2 6 1 1 1 4 5 19 29 33 30 5 0 2 0
"ARname_JACAREZINHO" 2 6 5 5 23 28 47 98 48 8 15 5 3 3 4 13 23 44 65 28 6 3 1 0
"ARname_SAMPAIO" 3 4 2 4 16 51 85 143 65 18 10 1 1 2 2 2 7 33 32 30 6 1 0 0
"ARname_TIJUCA" 17 18 44 41 99 194 335 323 285 104 47 25 17 11 17 43 158 445 553 464 84 7 14 4
"ARname_GALEAO" 2 6 27 19 16 25 20 45 4 0 26 12 14 16 18 44 35 49 101 44 11 3 3 2
"ARname_BONSUCESSO" 3 3 22 7 24 47 46 56 23 3 4 5 1 3 3 6 9 41 39 23 5 1 0 1
"ARname_JACARE" 1 2 0 4 17 15 31 57 26 8 10 1 0 0 2 7 19 15 37 27 9 1 1 0
"ARname_VILA ISABEL" 16 13 45 25 67 124 222 268 249 85 29 18 9 7 12 31 124 314 389 209 39 4 5 0
"ARname_ANDARAI" 4 2 7 10 13 22 44 64 48 18 7 4 6 7 4 4 30 75 112 48 8 1 2 0
"ARname_MANGUINHOS" 1 8 12 21 33 60 73 59 28 15 17 12 3 4 10 23 39 78 111 57 21 4 3 0
"ARname_RIACHUELO" 1 1 0 1 8 13 20 19 11 3 0 0 2 0 0 0 1 11 9 15 3 0 1 0
"ARname_MARE" 5 3 23 28 56 106 93 259 85 27 118 24 18 20 28 48 43 258 265 79 19 7 1 2
"ARname_ROCHA" 1 0 1 3 16 37 50 70 23 4 5 2 1 0 2 5 11 28 56 42 9 0 1 2
"ARname_ROCINHA" 11 15 20 29 28 37 75 70 24 8 13 7 6 5 3 82 117 110 99 76 28 17 2 3
"ARname_GAVEA" 7 6 22 25 20 21 49 50 15 3 2 0 2 1 1 16 30 50 61 43 22 7 1 1
"ARname_BENFICA" 4 5 9 5 15 39 62 80 31 9 6 1 4 1 3 9 31 37 65 31 7 1 4 1
"ARname_VIDIGAL" 5 3 2 3 7 8 13 13 3 0 2 2 5 4 1 2 16 37 48 24 10 3 1 0
"ARname_SAO FRANCISCO XAVIER" 1 3 4 4 15 40 45 49 18 4 3 8 0 2 3 1 4 19 36 31 7 1 0 0
"ARname_MANGUEIRA" 1 1 1 3 7 11 23 34 6 4 3 1 2 0 0 0 1 2 5 1 1 0 0 0
"ARname_CAJU" 0 1 1 1 3 16 37 48 5 2 14 5 6 1 0 7 34 83 78 45 10 0 2 2
"ARname_MARACANA" 2 1 8 16 29 49 65 39 56 23 5 2 4 3 2 12 31 72 106 94 24 1 0 1
"ARname_JARDIM BOTANICO" 0 2 11 3 8 17 19 18 9 1 5 6 6 1 4 14 21 50 60 47 5 1 1 0
"ARname_SAO CRISTOVAO" 3 10 23 24 57 85 118 123 49 15 6 3 4 7 3 2 24 64 143 97 10 2 5 0
"ARname_LEBLON" 3 6 21 6 14 21 38 35 15 2 3 4 1 4 5 13 21 60 77 59 5 4 1 0
"ARname_PARQUE COLUMBIA" 0 0 3 5 4 13 13 8 5 1 2 1 2 0 2 3 4 12 22 7 5 2 1 0
"ARname_LAGOA" 2 1 7 9 8 13 22 24 8 1 4 4 1 1 7 8 19 33 53 53 2 0 0 0
"ARname_CIDADE UNIVERSITARIA" 0 0 3 0 3 12 3 12 0 0 1 0 0 0 1 1 3 2 5 0 0 0 1 0
"ARname_PRACA DA BANDEIRA" 2 2 10 13 13 47 51 40 31 6 3 1 2 0 5 3 8 46 69 48 10 0 1 0
"ARname_RIO COMPRIDO" 15 8 22 34 54 100 169 202 85 31 25 16 10 13 8 12 66 193 269 177 31 7 3 2
"ARname_SANTA TERESA" 4 8 22 28 40 68 94 128 29 11 11 5 5 5 6 28 84 227 314 136 26 0 2 4
"ARname_IPANEMA" 2 2 8 5 10 21 51 46 15 3 8 3 5 6 6 10 24 50 81 64 6 0 1 0
"ARname_JARDIM GUANABARA" 7 10 16 17 20 35 31 85 16 6 9 8 7 4 6 28 54 64 104 61 11 10 5 3
"ARname_PORTUGUESA" 6 9 21 16 28 40 14 71 5 3 21 6 9 12 10 28 31 49 110 45 12 7 4 3
"ARname_SANTO CRISTO" 1 0 3 5 13 40 45 46 13 4 1 0 1 1 2 8 15 30 29 21 4 1 0 0
"ARname_CIDADE NOVA" 1 2 3 3 15 10 38 35 11 3 2 1 0 0 0 1 16 51 47 22 2 1 0 0
"ARname_ESTACIO" 2 0 4 5 15 19 36 42 18 4 5 4 1 1 0 10 22 71 82 34 4 0 0 0
"ARname_HUMAITA" 0 1 2 4 1 3 9 10 13 1 0 0 1 1 7 4 14 30 37 29 4 1 1 0
"ARname_JARDIM CARIOCA" 2 10 22 21 23 45 24 118 15 3 23 14 13 10 11 29 34 69 105 43 17 5 3 4
"ARname_COSME VELHO" 0 0 1 0 2 1 3 2 3 2 1 1 0 0 0 0 7 8 13 8 0 0 0 0
"ARname_MONERO" 0 0 4 2 2 3 6 8 1 0 1 0 3 0 1 3 4 10 12 4 4 1 0 0
"ARname_GAMBOA" 0 4 7 12 18 49 76 92 13 7 5 5 0 0 5 6 30 56 67 32 7 1 0 0
"ARname_BOTAFOGO" 13 5 26 37 35 80 154 212 80 14 31 12 17 17 19 44 143 259 385 260 32 12 7 2
"ARname_TAUA" 12 18 32 53 35 92 44 184 12 3 41 16 11 18 20 43 66 119 150 45 14 3 5 4
"ARname_CENTRO" 3 9 26 27 61 89 118 169 25 3 12 6 5 5 9 17 56 121 182 82 19 3 1 3
"ARname_CATUMBI" 0 1 0 0 0 3 0 4 1 2 0 0 1 0 2 0 5 5 4 0 0 0 0 0
"ARname_COPACABANA" 10 16 54 75 118 193 263 311 153 54 43 18 19 20 29 84 243 524 726 386 56 10 8 2
"ARname_LARANJEIRAS" 3 0 21 7 20 25 44 57 22 3 7 6 4 4 5 18 25 65 121 81 8 2 1 1
"ARname_BANCARIOS" 2 3 21 21 21 42 15 81 6 6 7 5 1 5 7 13 19 37 55 21 4 3 0 1
"ARname_CACUIA" 3 2 13 12 13 26 8 68 4 1 13 3 2 3 3 9 12 32 60 17 3 4 1 0
"ARname_FREGUESIA" 8 9 34 46 41 78 47 199 7 2 13 9 7 12 6 31 31 88 117 47 20 5 3 4
"ARname_COCOTA" 0 5 7 6 5 11 2 26 3 0 4 2 3 2 1 10 7 28 27 7 2 1 0 0
"ARname_SAUDE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ARname_PRAIA DA BANDEIRA" 1 5 7 8 15 14 4 38 3 4 11 4 4 2 8 17 13 21 30 6 2 2 0 0
"ARname_PITANGUEIRAS" 2 1 1 5 6 11 2 20 1 0 5 5 8 1 1 8 6 20 23 11 3 0 1 0
"ARname_CATETE" 0 0 6 6 11 17 33 31 11 1 8 2 4 0 3 12 29 74 83 64 5 2 0 0
"ARname_GLORIA" 5 0 6 9 23 30 49 35 10 3 5 5 4 0 2 6 21 72 77 77 8 2 1 0
"ARname_FLAMENGO" 8 3 11 9 11 35 44 48 17 5 7 7 8 8 9 21 30 73 105 106 16 3 2 2
"ARname_URCA" 2 1 1 1 4 4 6 13 1 1 2 0 2 0 1 4 7 17 28 25 1 0 0 0
"ARname_ZUMBI" 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 1
"ARname_RIBEIRA" 2 1 2 3 1 5 3 11 0 1 4 0 0 1 0 2 2 4 11 6 2 1 0 0
"ARname_LEME" 0 1 6 0 4 5 9 18 5 1 3 3 3 1 0 8 14 36 72 29 6 2 0 0
"ARname_PAQUETA" 1 3 4 8 1 3 5 17 4 8 3 0 1 0 4 10 45 36 47 9 1 0 0 0
