"midsPop=12" "midsPop=14" "midsPop=18" "midsPop=22" "midsPop=26" "midsPop=32" "midsPop=37" "midsPop=44" "midsPop=51" "midsPop=59" "midsPop=67" "midsPop=76" "midsPop=87" "midsPop=100" "midsPop=116" "midsPop=132" "midsPop=150" "midsPop=170" "midsPop=194" "midsPop=221" "midsPop=248" "midsPop=278" "midsPop=311" "midsPop=345" "midsPop=378" "midsPop=408" "midsPop=439" "midsPop=472" "midsPop=505" "midsPop=538" "midsPop=572" "midsPop=604" "midsPop=636" "midsPop=670" "midsPop=706" "midsPop=742" "midsPop=778" "midsPop=817" "midsPop=856" "midsPop=896" "midsPop=941" "midsPop=991" "midsPop=1049" "midsPop=1119" "midsPop=1206" "midsPop=1316" "midsPop=1470" "midsPop=1709" "midsPop=2127" "midsPop=2699"
"month=11" 0 0 0 0 0 0 0 0 0.00819672131147541 0 0 0.00421940928270042 0 0.00448430493273543 0.00917431192660551 0 0 0.0136986301369863 0.00892857142857143 0.0176211453744493 0.00452488687782805 0.0135135135135135 0 0.00909090909090909 0.0177777777777778 0.0135135135135135 0.0177777777777778 0.0176991150442478 0.00909090909090909 0.0176211453744493 0.0043859649122807 0.0186915887850467 0.031390134529148 0.0133333333333333 0.0222222222222222 0.00930232558139535 0.0311111111111111 0.00904977375565611 0.0263157894736842 0.013953488372093 0.0229357798165138 0.0269058295964126 0.0316742081447964 0.027027027027027 0.0275229357798165 0.0465116279069767 0.0458715596330275 0.0560747663551402 0.0458715596330275 0.113744075829384
"month=12" 0 0.00469483568075117 0 0.00478468899521531 0 0 0 0 0.00413223140495868 0.00465116279069767 0.00900900900900901 0.0126050420168067 0.00471698113207547 0.027027027027027 0.00462962962962963 0.0222222222222222 0.0258620689655172 0.0229357798165138 0.0225225225225225 0.0134529147982063 0.00904977375565611 0.00452488687782805 0.0267857142857143 0.0136363636363636 0.0223214285714286 0.0273972602739726 0.0316742081447964 0.0495495495495495 0.0410958904109589 0.0446428571428571 0.0611353711790393 0.0521327014218009 0.0458715596330275 0.0530973451327434 0.0675675675675676 0.0416666666666667 0.045662100456621 0.0491071428571429 0.0448430493273543 0.0604651162790698 0.0744186046511628 0.0779816513761468 0.0737327188940092 0.0818181818181818 0.0787037037037037 0.07981220657277 0.0740740740740741 0.080952380952381 0.0943396226415094 0.140625
"month=13" 0.00387596899224806 0 0.00431034482758621 0.0144230769230769 0.0165289256198347 0.0101522842639594 0.0133333333333333 0.026431718061674 0.0205761316872428 0.014018691588785 0.0272727272727273 0.00847457627118644 0.014218009478673 0.0184331797235023 0.0276497695852535 0.0363636363636364 0.0221238938053097 0.0325581395348837 0.0229357798165138 0.0358744394618834 0.0540540540540541 0.0493273542600897 0.0412844036697248 0.0958904109589041 0.0582959641255605 0.0280373831775701 0.0414746543778802 0.0511627906976744 0.0516431924882629 0.0642201834862385 0.0694444444444444 0.0585365853658537 0.103286384976526 0.0972222222222222 0.104265402843602 0.0813397129186603 0.0985915492957746 0.131455399061033 0.0963302752293578 0.0975609756097561 0.0980392156862745 0.117073170731707 0.130434782608696 0.110576923076923 0.0788177339901478 0.11219512195122 0.12621359223301 0.141414141414141 0.171717171717172 0.173184357541899
"month=14" 0.00778210116731518 0.0141509433962264 0.0303030303030303 0.0242718446601942 0.0336134453781513 0.00512820512820513 0.0225225225225225 0.0135746606334842 0.0418410041841004 0.0377358490566038 0.0185185185185185 0.0680851063829787 0.0574162679425837 0.0462962962962963 0.0613207547169811 0.0790697674418605 0.0933333333333333 0.0754716981132075 0.101851851851852 0.125 0.151658767772512 0.160377358490566 0.2 0.126262626262626 0.191588785046729 0.18957345971564 0.158878504672897 0.233333333333333 0.223300970873786 0.23696682464455 0.272727272727273 0.252525252525253 0.241025641025641 0.3 0.409326424870466 0.331632653061224 0.348717948717949 0.352331606217617 0.386934673366834 0.414893617021277 0.378947368421053 0.338624338624339 0.47027027027027 0.369791666666667 0.38659793814433 0.383419689119171 0.481481481481481 0.418079096045198 0.424418604651163 0.450980392156863
"month=15" 0.0078125 0.0334928229665072 0.0267857142857143 0.0396039603960396 0.0432900432900433 0.0461538461538462 0.0363636363636364 0.0547945205479452 0.0769230769230769 0.053921568627451 0.0700934579439252 0.0990990990990991 0.135678391959799 0.130434782608696 0.165 0.180904522613065 0.160194174757282 0.182741116751269 0.209183673469388 0.243523316062176 0.26775956284153 0.306010928961749 0.252873563218391 0.297297297297297 0.259887005649718 0.441860465116279 0.327868852459016 0.408536585365854 0.414634146341463 0.450617283950617 0.379746835443038 0.463087248322148 0.397435897435897 0.496551724137931 0.478991596638655 0.485074626865672 0.545454545454545 0.457364341085271 0.465116279069767 0.539130434782609 0.504132231404959 0.50381679389313 0.445544554455446 0.564516129032258 0.483606557377049 0.540322580645161 0.475728155339806 0.398148148148148 0.529411764705882 0.425287356321839
"month=16" 0.0433070866141732 0.024390243902439 0.0358744394618834 0.0256410256410256 0.0575221238938053 0.0374331550802139 0.0651162790697674 0.0865384615384615 0.124423963133641 0.147208121827411 0.123762376237624 0.131707317073171 0.126436781609195 0.0962566844919786 0.120689655172414 0.198795180722892 0.138888888888889 0.224242424242424 0.175 0.248366013071895 0.280575539568345 0.264705882352941 0.352941176470588 0.377777777777778 0.333333333333333 0.356435643564356 0.421875 0.470588235294118 0.440366972477064 0.454545454545455 0.537037037037037 0.447058823529412 0.45 0.658227848101266 0.391891891891892 0.413333333333333 0.651515151515151 0.526315789473684 0.512820512820513 0.553571428571429 0.477611940298507 0.5 0.571428571428571 0.581818181818182 0.450704225352113 0.416666666666667 0.383333333333333 0.5 0.52 0.285714285714286
"month=17" 0.0122448979591837 0.024390243902439 0.0228310502283105 0.0357142857142857 0.0227272727272727 0.0217391304347826 0.0245098039215686 0.0150753768844221 0.065 0.0571428571428571 0.032258064516129 0.0634920634920635 0.0864197530864197 0.0395480225988701 0.123456790123457 0.12987012987013 0.109090909090909 0.0769230769230769 0.100671140939597 0.118110236220472 0.087719298245614 0.151785714285714 0.0721649484536082 0.21 0.220183486238532 0.308641975308642 0.25 0.253731343283582 0.242857142857143 0.246376811594203 0.178571428571429 0.140350877192982 0.241935483870968 0.15 0.296296296296296 0.244897959183673 0.189189189189189 0.173913043478261 0.30188679245283 0.27027027027027 0.195652173913043 0.295454545454545 0.194444444444444 0.178571428571429 0.26530612244898 0.260869565217391 0.170212765957447 0.136363636363636 0.0882352941176471 0.104166666666667
"month=18" 0.0199203187250996 0.0147783251231527 0 0.00510204081632653 0.00865800865800866 0 0 0.00476190476190476 0.0198019801980198 0.0106382978723404 0.00980392156862745 0.0196078431372549 0.024390243902439 0.0310880829015544 0.0125 0.0240963855421687 0.0294117647058824 0.0352941176470588 0.0397350993377483 0.051948051948052 0.00735294117647059 0.0310077519379845 0.062015503875969 0.0598290598290598 0.0630630630630631 0.0659340659340659 0.0520833333333333 0.0537634408602151 0.0666666666666667 0.0869565217391304 0.0549450549450549 0.0465116279069767 0.0227272727272727 0.0975609756097561 0.046875 0.075 0.04 0.0769230769230769 0.112676056338028 0.0677966101694915 0.0694444444444444 0.10958904109589 0.0483870967741935 0.0615384615384615 0.0294117647058824 0.05 0.0533333333333333 0.0806451612903226 0.0793650793650794 0.0303030303030303
"month=19" 0 0.00485436893203883 0.00873362445414847 0 0 0 0.0138888888888889 0.0045045045045045 0.00888888888888889 0.00970873786407767 0 0.00888888888888889 0.0106382978723404 0.0192307692307692 0 0.00985221674876847 0.0100502512562814 0.0101522842639594 0.0104166666666667 0.010989010989011 0.0167597765363128 0.0108695652173913 0.00564971751412429 0.0285714285714286 0.0116959064327485 0.0130718954248366 0.0182926829268293 0.0318471337579618 0.00666666666666667 0.0440251572327044 0.0440251572327044 0.020979020979021 0.0180722891566265 0.0283687943262411 0.0220588235294118 0.0150375939849624 0.0136986301369863 0.0144927536231884 0.0202702702702703 0.0217391304347826 0.0615384615384615 0.0373134328358209 0.037037037037037 0.0444444444444444 0.0666666666666667 0.0465116279069767 0.0229007633587786 0.0241935483870968 0.04 0.0173913043478261
"month=20" 0 0 0 0.00483091787439614 0.012396694214876 0.0050761421319797 0 0 0 0.018957345971564 0.00900900900900901 0.0212765957446809 0 0.0276497695852535 0.013953488372093 0.00454545454545455 0.0227272727272727 0 0.0186915887850467 0.0140845070422535 0.00483091787439614 0.0187793427230047 0.0234741784037559 0.0388349514563107 0.00934579439252336 0.035 0.0242718446601942 0.03 0.0303030303030303 0.0355329949238579 0.0492610837438424 0.0486486486486487 0.0392156862745098 0.0245098039215686 0.0355329949238579 0.045 0.02 0.0153846153846154 0.0297029702970297 0.0575916230366492 0.0466321243523316 0.0372340425531915 0.0402010050251256 0.0473684210526316 0.05 0.0368421052631579 0.0478723404255319 0.0306122448979592 0.0476190476190476 0.0346820809248555
"month=21" 0.00387596899224806 0.00469483568075117 0.00431034482758621 0.00485436893203883 0 0.0102040816326531 0.00446428571428571 0.00440528634361234 0.00823045267489712 0.014218009478673 0 0.0170940170940171 0.00478468899521531 0.0138248847926267 0.014018691588785 0.0269058295964126 0.0225225225225225 0.00909090909090909 0.0137614678899083 0.0231481481481481 0.036697247706422 0.0414746543778802 0.0234741784037559 0.0193236714975845 0.027027027027027 0.029126213592233 0.013953488372093 0.0238095238095238 0.0476190476190476 0.0377358490566038 0.019047619047619 0.0552763819095477 0.0666666666666667 0.033175355450237 0.0574162679425837 0.0295566502463054 0.0610328638497653 0.0523809523809524 0.0232558139534884 0.065989847715736 0.0344827586206897 0.0295566502463054 0.0769230769230769 0.0445544554455446 0.054726368159204 0.0536585365853659 0.0591133004926108 0.0591133004926108 0.0487804878048781 0.0416666666666667
"month=22" 0 0.00471698113207547 0 0.00480769230769231 0.00413223140495868 0 0 0.00884955752212389 0.012396694214876 0.014218009478673 0.018018018018018 0.0170212765957447 0.018957345971564 0.0091324200913242 0.0467289719626168 0.0410958904109589 0.0403587443946188 0.00917431192660551 0.0136986301369863 0.0273972602739726 0.0327102803738318 0.0234741784037559 0.0604651162790698 0.0377358490566038 0.0454545454545455 0.0607476635514019 0.0497737556561086 0.0555555555555556 0.0676328502415459 0.0645161290322581 0.0848214285714286 0.0454545454545455 0.0682926829268293 0.0660377358490566 0.0943396226415094 0.0721153846153846 0.0579710144927536 0.0917874396135266 0.0863636363636364 0.0862944162436548 0.0531400966183575 0.0761904761904762 0.135678391959799 0.123222748815166 0.106060606060606 0.106796116504854 0.131067961165049 0.141463414634146 0.170731707317073 0.127551020408163
"month=23" 0.00775193798449612 0 0.00431034482758621 0.00480769230769231 0.00829875518672199 0 0.00892857142857143 0.0222222222222222 0.004149377593361 0.019047619047619 0.00458715596330275 0.0256410256410256 0.00966183574879227 0.0226244343891403 0.0194174757281553 0.0465116279069767 0.0272727272727273 0.0365296803652968 0.0458715596330275 0.055045871559633 0.0428571428571429 0.0794392523364486 0.0533980582524272 0.0526315789473684 0.0509259259259259 0.0922330097087379 0.0422535211267606 0.0904761904761905 0.0686274509803922 0.0707547169811321 0.0663507109004739 0.09 0.0922330097087379 0.101449275362319 0.119402985074627 0.1 0.111111111111111 0.131313131313131 0.11219512195122 0.149484536082474 0.0833333333333333 0.165 0.150537634408602 0.185567010309278 0.131578947368421 0.189473684210526 0.184210526315789 0.156756756756757 0.19774011299435 0.215469613259669
"month=24" 0.015625 0.00938967136150235 0.012987012987013 0.00961538461538462 0.0125 0.0153061224489796 0.0315315315315315 0.0363636363636364 0.0371900826446281 0.0191387559808612 0.0226244343891403 0.0344827586206897 0.0865384615384615 0.036697247706422 0.0717703349282297 0.0514018691588785 0.0358744394618834 0.0473933649289099 0.0571428571428571 0.0666666666666667 0.0776699029126214 0.0646766169154229 0.107317073170732 0.140776699029126 0.127962085308057 0.131979695431472 0.14622641509434 0.115 0.141414141414141 0.162679425837321 0.207920792079208 0.202127659574468 0.239583333333333 0.233502538071066 0.25531914893617 0.267015706806283 0.233160621761658 0.260869565217391 0.269430051813472 0.32183908045977 0.253886010362694 0.3 0.372093023255814 0.264705882352941 0.255681818181818 0.304878048780488 0.295180722891566 0.317365269461078 0.36875 0.375
"month=25" 0.0078740157480315 0.014218009478673 0.0174672489082969 0 0.0292887029288703 0.0103092783505155 0.0138248847926267 0.0232558139534884 0.0256410256410256 0.0240384615384615 0.0276497695852535 0.0262008733624454 0.0621761658031088 0.0327102803738318 0.0201005025125628 0.0761904761904762 0.0723981900452489 0.0728155339805825 0.0769230769230769 0.121951219512195 0.0964467005076142 0.100502512562814 0.162303664921466 0.12568306010929 0.145077720207254 0.176470588235294 0.198924731182796 0.202072538860104 0.156424581005587 0.130434782608696 0.21301775147929 0.300613496932515 0.240506329113924 0.277777777777778 0.217105263157895 0.268456375838926 0.356687898089172 0.342857142857143 0.310810810810811 0.351145038167939 0.337662337662338 0.35 0.372881355932203 0.382352941176471 0.345070422535211 0.352459016393443 0.2265625 0.369747899159664 0.4 0.372549019607843
"month=26" 0.0078740157480315 0.00952380952380952 0.00881057268722467 0.0241545893719807 0.0212765957446809 0.0309278350515464 0.0410958904109589 0.0184331797235023 0.0379746835443038 0.0194174757281553 0.0465116279069767 0.0657894736842105 0.0518134715025907 0.0845070422535211 0.0772946859903382 0.0757575757575758 0.105769230769231 0.0746268656716418 0.111111111111111 0.181818181818182 0.138297872340426 0.139784946236559 0.224852071005917 0.2 0.176795580110497 0.290909090909091 0.320987654320988 0.341463414634146 0.257309941520468 0.296511627906977 0.219354838709677 0.373015873015873 0.343065693430657 0.335820895522388 0.364341085271318 0.3359375 0.330434782608696 0.431192660550459 0.464912280701754 0.382352941176471 0.436363636363636 0.42 0.388235294117647 0.43956043956044 0.352380952380952 0.34375 0.311475409836066 0.453488372093023 0.40506329113924 0.32
"month=27" 0.0235294117647059 0.0240384615384615 0.0308370044052863 0.0445544554455446 0.0341880341880342 0.0582010582010582 0.0422535211267606 0.0645161290322581 0.0862068965517241 0.0917874396135266 0.062200956937799 0.0599078341013825 0.0989583333333333 0.095959595959596 0.169230769230769 0.0909090909090909 0.138461538461538 0.168421052631579 0.214285714285714 0.191616766467066 0.303571428571429 0.319277108433735 0.201438848920863 0.274509803921569 0.335483870967742 0.375 0.456896551724138 0.491379310344828 0.469230769230769 0.407692307692308 0.46969696969697 0.476190476190476 0.382352941176471 0.595744680851064 0.477272727272727 0.528089887640449 0.481927710843373 0.402777777777778 0.514285714285714 0.557142857142857 0.552238805970149 0.555555555555556 0.581818181818182 0.448275862068966 0.561643835616438 0.534246575342466 0.545454545454545 0.433962264150943 0.464285714285714 0.344262295081967
