"midsPop=18" "midsPop=38" "midsPop=68" "midsPop=120" "midsPop=206" "midsPop=326" "midsPop=460" "midsPop=595" "midsPop=741" "midsPop=908" "midsPop=1179" "midsPop=2180"
"month=24" 0.0114345114345114 0.0262869660460022 0.0339168490153173 0.0543237250554324 0.0617848970251716 0.107351225204201 0.135231316725979 0.20969696969697 0.245283018867925 0.281452658884565 0.297752808988764 0.339285714285714
"month=25" 0.0115062761506276 0.0201117318435754 0.0313199105145414 0.0492554410080183 0.0878220140515222 0.1325 0.182989690721649 0.220946915351506 0.296875 0.334453781512605 0.363970588235294 0.333333333333333
"month=26" 0.0136554621848739 0.0278396436525612 0.0427446569178853 0.0825581395348837 0.123152709359606 0.182061579651941 0.302898550724638 0.302287581699346 0.348425196850394 0.440715883668904 0.378172588832487 0.36745406824147
"month=27" 0.0285714285714286 0.0553047404063205 0.0721649484536082 0.126237623762376 0.208053691275168 0.284375 0.442270058708415 0.454545454545455 0.502793296089385 0.519713261648746 0.533333333333333 0.461254612546125
"month=28" 0.0301075268817204 0.0294464075382803 0.0947242206235012 0.110661268556005 0.1744 0.270161290322581 0.292834890965732 0.440860215053763 0.446700507614213 0.422818791946309 0.402777777777778 0.38125
"month=29" 0.0237324703344121 0.0326721120186698 0.0552763819095477 0.105189340813464 0.149046793760832 0.220873786407767 0.301818181818182 0.338461538461538 0.343065693430657 0.230769230769231 0.266666666666667 0.292682926829268
"month=30" 0.0129310344827586 0.0218140068886338 0.0305997552019584 0.0365168539325843 0.0465116279069767 0.0769230769230769 0.0703703703703704 0.08 0.0882352941176471 0.0973451327433628 0.116666666666667 0.117647058823529
"month=31" 0.00212089077412513 0.00222965440356745 0.0045662100456621 0.00484261501210654 0.00629722921914358 0.00453857791225416 0.0108303249097473 0.0164271047227926 0.00257731958762887 0 0.0207612456747405 0.0180505415162455
"month=32" 0.00414507772020725 0.00652173913043478 0.012987012987013 0.00978260869565217 0.0264900662251656 0.0350678733031674 0.0451388888888889 0.0592686002522068 0.0693877551020408 0.0992592592592593 0.0679304897314376 0.140900195694716
"month=33" 0.00103734439834025 0.00327153762268266 0.00109051254089422 0.00325732899022801 0.0132596685082873 0.0261660978384528 0.0345224395857307 0.0443896424167694 0.0660621761658031 0.0968208092485549 0.116546762589928 0.117863720073665
"month=34" 0.00103412616339193 0.00325379609544469 0.00645161290322581 0.00753498385360603 0.0087431693989071 0.0221483942414175 0.0281214848143982 0.0455580865603645 0.0570071258907363 0.0543615676359039 0.0858257477243173 0.109422492401216
"month=35" 0 0.00325379609544469 0.00972972972972973 0.00756756756756757 0.0162337662337662 0.0275330396475771 0.0400890868596882 0.0483689538807649 0.0538011695906433 0.0652173913043478 0.0893512851897185 0.0979827089337176
