"nG_12" "nG_25" "nG_50" "nG_100"
17.2004132231405 13.3375796178344 11.9573643410853 11.4972067039106
36.9783783783784 20.3356009070295 15.0093896713615 13
67.3523093447905 29.1913439635535 18.4008620689655 14.5140845070423
118.720257234727 40.6725663716814 22.4832535885167 16
202.866310160428 55.2418300653595 26.9214876033058 17.4920634920635
325.922994652406 72.1952277657267 31.9796954314721 19.4811320754717
458.939037433155 94.167816091954 37.5066666666667 21.4705882352941
596.64406779661 124.58690744921 43.8105726872247 23.4485981308411
740.492521367521 160.67770419426 51.4672131147541 25.4509803921569
903.657357679914 208.015521064302 59.5255813953488 27.9928571428571
1150.73134328358 263.542410714286 67.3468468468468 30.9579831932773
2119.99252136752 328.354260089686 76.6987447698745 33.5384615384615
NA 393.388888888889 87.1556603773585 36.472972972973
NA 455.674778761062 100.834080717489 39.4935064935065
NA 521.674057649667 116.229357798165 42.5479452054795
NA 588.627802690583 132.684444444444 46.0864197530864
NA 653.581497797357 151.181034482759 49.4918032786885
NA 724.329596412556 170.647058823529 53.4426229508197
NA 797.944690265487 193.866071428571 57.5675675675676
NA 876.178173719376 221.977973568282 61.6153846153846
NA 966.979910714286 249.142857142857 65.5327868852459
NA 1082.49227373068 277.941964285714 69.56
NA 1260.76733780761 311.75 74.0990990990991
NA 1576.46 345.108108108108 78.953125
NA 2723.64666666667 378.890350877193 83.8910891089109
NA NA 408.279279279279 90.1261261261261
NA NA 439.257777777778 96.6730769230769
NA NA 471.947136563877 104.470588235294
NA NA 504.806306306306 112.361111111111
NA NA 538.026200873362 120.027272727273
NA NA 572.186956521739 128.268907563025
NA NA 606.134259259259 137.641509433962
NA NA 636.76 146.512396694215
NA NA 670.109170305677 156.27027027027
NA NA 706.811403508772 165.936936936937
NA NA 742.651376146789 175.4
NA NA 778.24778761062 188.445378151261
NA NA 817.641592920354 200.009523809524
NA NA 856.582608695652 215.201754385965
NA NA 896.75799086758 228.814159292035
NA NA 942.910313901345 241.8
NA NA 990.835555555556 256.228070175439
NA NA 1047.99111111111 269.915887850467
NA NA 1116.53947368421 285.282051282051
NA NA 1205.03153153153 302.678899082569
NA NA 1315.76 320.347826086957
NA NA 1464.78854625551 336.892857142857
NA NA 1690.13452914798 353.472727272727
NA NA 2081.41333333333 371.589743589744
NA NA 3365.88 386.585585585586
NA NA NA 401.216216216216
NA NA NA 415.342342342342
NA NA NA 430.689655172414
NA NA NA 448.376146788991
NA NA NA 464.564102564103
NA NA NA 479.8
NA NA NA 497.327731092437
NA NA NA 513.446601941748
NA NA NA 529.280701754386
NA NA NA 546.695652173913
NA NA NA 563.526315789474
NA NA NA 580.698275862069
NA NA NA 598.472727272727
NA NA NA 614.084905660377
NA NA NA 628.923076923077
NA NA NA 645.25
NA NA NA 661.364406779661
NA NA NA 679.405405405405
NA NA NA 697.508928571429
NA NA NA 715.793103448276
NA NA NA 734.293577981651
NA NA NA 751.009174311927
NA NA NA 769.302521008403
NA NA NA 788.196261682243
NA NA NA 808.254237288136
NA NA NA 827.898148148148
NA NA NA 847.189189189189
NA NA NA 865.344537815126
NA NA NA 885.25
NA NA NA 907.954954954955
NA NA NA 931.833333333333
NA NA NA 954.495412844037
NA NA NA 977.59649122807
NA NA NA 1004.43243243243
NA NA NA 1033.95652173913
NA NA NA 1062.66363636364
NA NA NA 1095.96460176991
NA NA NA 1136.75652173913
NA NA NA 1181.40540540541
NA NA NA 1228.65765765766
NA NA NA 1283.75
NA NA NA 1347.48672566372
NA NA NA 1418.63793103448
NA NA NA 1513.01801801802
NA NA NA 1623.36936936937
NA NA NA 1756.30357142857
NA NA NA 1948.83035714286
NA NA NA 2212.82300884956
NA NA NA 2630.78571428571
NA NA NA 4094.46902654867
