"midsPop=13" "midsPop=20" "midsPop=29" "midsPop=40" "midsPop=55" "midsPop=72" "midsPop=94" "midsPop=124" "midsPop=161" "midsPop=208" "midsPop=264" "midsPop=328" "midsPop=392" "midsPop=455" "midsPop=522" "midsPop=588" "midsPop=654" "midsPop=723" "midsPop=798" "midsPop=878" "midsPop=968" "midsPop=1089" "midsPop=1269" "midsPop=1618" "midsPop=2429"
"month=1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"month=2" 0.00212314225053079 0 0.00228310502283105 0 0 0.00434782608695652 0.00691244239631336 0 0.00221238938053097 0.00221729490022173 0.00224215246636771 0.00900900900900901 0.00894854586129754 0.0066815144766147 0.0133928571428571 0.00675675675675676 0.00665188470066519 0.0112359550561798 0.0221729490022173 0.0179775280898876 0.0112107623318386 0.0133037694013304 0.0182232346241458 0.0335570469798658 0.0581395348837209
"month=3" 0 0 0 0.00221238938053097 0.00217864923747277 0 0.00231481481481481 0.00225733634311512 0.00663716814159292 0.00222222222222222 0.0178970917225951 0.0113122171945701 0.0112359550561798 0.0178173719376392 0.0202247191011236 0.0203160270880361 0.0177383592017738 0.0113378684807256 0.0113122171945701 0.0226757369614512 0.0270880361173815 0.0223713646532438 0.0432801822323462 0.0436781609195402 0.0676328502415459
"month=4" 0 0.00226757369614512 0 0 0.00218340611353712 0 0.00460829493087558 0.00678733031674208 0.00666666666666667 0.00666666666666667 0.00681818181818182 0.00680272108843537 0.0134831460674157 0.00900900900900901 0.0158730158730159 0.018348623853211 0.0112107623318386 0.00911161731207289 0.0292134831460674 0.0341685649202733 0.0115207373271889 0.0316027088036117 0.0234741784037559 0.0397196261682243 0.0712530712530713
"month=5" 0 0 0 0.00663716814159292 0.00873362445414847 0.00650759219088937 0.0092378752886836 0.00454545454545455 0.00666666666666667 0.0133928571428571 0.0202247191011236 0.0135746606334842 0.0135135135135135 0.0267857142857143 0.0316742081447964 0.0229357798165138 0.0244988864142539 0.0408163265306122 0.0365296803652968 0.0439814814814815 0.0361990950226244 0.0364464692482916 0.0436781609195402 0.058411214953271 0.0886699507389163
"month=6" 0 0.00227272727272727 0.00227790432801822 0.0022271714922049 0 0.00218340611353712 0.00232018561484919 0.0113378684807256 0.00222222222222222 0.00674157303370787 0.00684931506849315 0.00909090909090909 0.0225225225225225 0.0159090909090909 0.0183908045977011 0.0229357798165138 0.0203619909502262 0.0140515222482436 0.0277136258660508 0.0186915887850467 0.037037037037037 0.0344036697247706 0.035377358490566 0.0641330166270784 0.0784810126582278
"month=7" 0 0 0 0.00221729490022173 0 0.00217864923747277 0.00691244239631336 0.0045662100456621 0.00663716814159292 0.00892857142857143 0.00451467268623025 0.0226244343891403 0.00909090909090909 0.0247747747747748 0.0158371040723982 0.0367816091954023 0.0271493212669683 0.0296127562642369 0.0251716247139588 0.0275229357798165 0.0440835266821346 0.0344827586206897 0.0629370629370629 0.0528846153846154 0.0625
"month=8" 0 0 0.00227790432801822 0 0.00217864923747277 0 0.00231481481481481 0.00681818181818182 0.00666666666666667 0.0156599552572707 0.0157303370786517 0.0252293577981651 0.015695067264574 0.0182232346241458 0.0135746606334842 0.0186480186480186 0.025 0.037037037037037 0.0295454545454545 0.025462962962963 0.0257611241217799 0.0483870967741935 0.0428571428571429 0.0380952380952381 0.0661764705882353
"month=9" 0 0.00226757369614512 0.00228310502283105 0.00221238938053097 0.00218340611353712 0 0.00460829493087558 0 0.0066815144766147 0.00900900900900901 0.0136054421768707 0.0114942528735632 0.018058690744921 0.018018018018018 0.0157657657657658 0.0185185185185185 0.0204545454545455 0.0232558139534884 0.020501138952164 0.0253456221198157 0.0137614678899083 0.0116009280742459 0.0258215962441315 0.0398126463700234 0.0658536585365854
"month=10" 0 0.00454545454545455 0.00228310502283105 0.00221729490022173 0.00218340611353712 0.00433839479392625 0 0.00677200902934537 0.00444444444444444 0 0.00680272108843537 0.0113378684807256 0.00678733031674208 0.00225225225225225 0.0090293453724605 0.00684931506849315 0.0090702947845805 0.0114942528735632 0.0135440180586907 0.0114155251141553 0.0158730158730159 0.0202247191011236 0.0299539170506912 0.0369515011547344 0.0313253012048193
"month=11" 0 0 0 0 0.00436681222707424 0.00217864923747277 0.00229885057471264 0.00454545454545455 0.00665188470066519 0.0133037694013304 0.0090293453724605 0.00453514739229025 0.0156599552572707 0.0177383592017738 0.0134228187919463 0.0113122171945701 0.0223214285714286 0.0159090909090909 0.0201793721973094 0.0203160270880361 0.0249433106575964 0.0293453724604966 0.0369515011547344 0.0509259259259259 0.0792540792540792
"month=12" 0.00212314225053079 0.00226757369614512 0 0 0.00437636761487965 0.0108695652173913 0.0161290322580645 0.0136054421768707 0.0244444444444444 0.0179775280898876 0.00678733031674208 0.0202702702702703 0.0248306997742664 0.0406320541760722 0.0428893905191874 0.0568181818181818 0.0495495495495495 0.0547945205479452 0.0474040632054176 0.0525114155251142 0.0762124711316397 0.0778032036613272 0.0792540792540792 0.0774647887323944 0.116336633663366
"month=13" 0.00212765957446809 0.00909090909090909 0.0136674259681093 0.0199115044247788 0.0175054704595186 0.0175438596491228 0.0163551401869159 0.0320366132723112 0.0272108843537415 0.0294784580498866 0.051685393258427 0.068649885583524 0.0434782608695652 0.0462962962962963 0.0580046403712297 0.0641330166270784 0.1002331002331 0.0928571428571429 0.115023474178404 0.0969267139479905 0.107579462102689 0.120481927710843 0.0955882352941176 0.133663366336634 0.172413793103448
"month=14" 0.0106609808102345 0.0274599542334096 0.0207852193995381 0.018058690744921 0.0399113082039911 0.0443458980044346 0.0517647058823529 0.0702576112412178 0.0846681922196796 0.113425925925926 0.156028368794326 0.164648910411622 0.190588235294118 0.195754716981132 0.23021582733813 0.262899262899263 0.270886075949367 0.370179948586118 0.350515463917526 0.400516795865633 0.358839050131926 0.419098143236074 0.385012919896641 0.450819672131148 0.436923076923077
"month=15" 0.0193548387096774 0.0328638497652582 0.0446009389671361 0.0455580865603645 0.0662100456621005 0.0848623853211009 0.133004926108374 0.172932330827068 0.1712158808933 0.226221079691517 0.286885245901639 0.275766016713092 0.349570200573066 0.365994236311239 0.432515337423313 0.420195439739414 0.445182724252492 0.482213438735178 0.501915708812261 0.5 0.503968253968254 0.511111111111111 0.51219512195122 0.436018957345972 0.481481481481481
"month=16" 0.0348583877995643 0.0311004784688995 0.0484261501210654 0.0756501182033097 0.135265700483092 0.127764127764128 0.110803324099723 0.158823529411765 0.179710144927536 0.210862619808307 0.272727272727273 0.365313653136531 0.343096234309623 0.443478260869565 0.447115384615385 0.49740932642487 0.541899441340782 0.402684563758389 0.584507042253521 0.529850746268657 0.48936170212766 0.576271186440678 0.435114503816794 0.446153846153846 0.39622641509434
"month=17" 0.0177777777777778 0.0289156626506024 0.0222772277227723 0.0198511166253102 0.0613333333333333 0.048 0.0619469026548673 0.126582278481013 0.0941558441558442 0.108695652173913 0.119469026548673 0.142131979695431 0.257894736842105 0.251655629139073 0.244604316546763 0.15929203539823 0.205882352941176 0.271844660194175 0.180722891566265 0.288888888888889 0.244444444444444 0.1875 0.263157894736842 0.153846153846154 0.0975609756097561
"month=18" 0.0176211453744493 0.00238663484486874 0.00480769230769231 0.00236406619385343 0.0153846153846154 0.0147058823529412 0.0280112044817927 0.0184049079754601 0.0323529411764706 0.0459016393442623 0.0188679245283019 0.0609756097560976 0.0643564356435644 0.0529100529100529 0.0769230769230769 0.0508474576271186 0.0588235294117647 0.0625 0.0588235294117647 0.0923076923076923 0.0896551724137931 0.0551181102362205 0.0390625 0.0656934306569343 0.0542635658914729
